property_tax_id,id,2018.total,2019.total,2022.total,2017.total,2021.total,2013.total,2014.total,2015.total,2016.total,2020.total,2023.total
201,"5322-Lake,-Golden,-San-Antonio,-TX-78244",,2932.0,3310.0,,3338.0,,,,,,2710.0
202,"5516-Grand-Lake-Dr,-San-Antonio,-TX-78244",,2375.0,2276.0,,2719.0,,,,,,1439.0
203,"5418-Lake-Grove-Dr,-San-Antonio,-TX-78244",,2355.0,3369.0,,2910.0,,,,,,3520.0
204,"5407-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,,,,,,,,,,
205,"5403-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,2349.0,3448.0,,2818.0,,,,,,3591.0
206,"5406-Shadow-Lake-Dr,-San-Antonio,-TX-78244",,2200.0,2902.0,,2589.0,,,,,,2924.0
207,"5625-Lochmoor,-San-Antonio,-TX-78244",,,,,,,,,,,
208,"6914-Quail-Lk,-San-Antonio,-TX-78244",,2656.0,2995.0,,3036.0,,,,,,2397.0
209,"5607-Lochmoor,-San-Antonio,-TX-78244",,5200.0,6420.0,,5941.0,,,,,,5844.0
210,"5607-Lochmoor,---1,-San-Antonio,-TX-78244",,,,,,,,,,,
211,"325-Sw-Trafalgar-Pkwy,-Cape-Coral,-FL-33991",,,4637.0,,3812.0,,,,,,
212,"6636-W-William-Cannon-Dr,-Austin,-TX-78735",,,,,,,,,,,
213,"13529-Coleto-Creek-Trl,-Austin,-TX-78732",,,49879.0,,,,,,,,
214,"7011-W-Parmer-Ln,-Austin,-TX-78729",,,,,,,,,,,
215,"7001-S-Congress-Ave,-Austin,-TX-78745",,,,,,,,,,,
216,"8109-Wolf-Jaw-Cv,-Austin,-TX-78729",,6462.0,11076.0,,,,,,,1219.0,
217,"5200-N-Lamar-Blvd,-Austin,-TX-78751",,,,,,,,,,,
218,"1301-W-5th-St,-Austin,-TX-78703",,,,,,,,,,,
219,"5120-Mansfield-View-Ct,-Austin,-TX-78732",,,43887.0,,,,,,,,
220,"1044-Camino-Ln,-Costa,-Austin,-TX-78752",,,,,,,,,,,
221,"12300-Riata-Trace-Pkwy,-Austin,-TX-78727",,,,,,,,,,,
222,"4913-Wing-Rd,-Austin,-TX-78749",,,10066.0,6455.0,8108.0,,,,,7700.0,
223,"924-Cavalry-Ride-Trl,-Austin,-TX-78732",,,16976.0,,,,,,,10562.0,
224,"2401-Manor-Rd,-Apt-209,-Austin,-TX-78722",,4397.0,4741.0,,4038.0,,,,,,
225,"800-W-38th-St,-Austin,-TX-78705",,,,,,,,,,,
226,"2426-E-6th-St,-Unit-242,-Austin,-TX-78702",,,,,,,,,,,
227,"4811-Burnet-Rd,-Austin,-TX-78756",,,278342.0,,,,,,,269214.0,
228,"1500-E-Riverside-Dr,-Austin,-TX-78741",,,,,,,,,,,
229,"8801-N-Fm-620-Rd,-Austin,-TX-78726",,,,,,,,,,,
230,"2104-E-Anderson-Ln,-Austin,-TX-78752",,,,,,,,,,,
231,"7401-N-Lamar-Blvd,-Austin,-TX-78752",,,,,,,,,,,
232,"12430-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,
233,"6500-Champion-Grandview-Way,-Austin,-TX-78750",,,,,,,,,,,
234,"2402-San-Gabriel-St,-Austin,-TX-78705",,,,,,,,,,,
235,"360-Nueces-St,-Apt-1212,-Austin,-TX-78701",,,9807.0,,,,,,,,
236,"1621-E-6th-St,-Austin,-TX-78702",,,,,,,,,,,
237,"8600-N-Lamar-Blvd,-Austin,-TX-78753",,,,,,,,,,,
238,"1911-Willow-Creek-Dr,-Austin,-TX-78741",,,,,,,,,,,
239,"1611-W-5th-St,-Austin,-TX-78703",,,,,,,,,,,
240,"1720-W-Wells-Branch-Pkwy,-Austin,-TX-78728",,,,,,,,,,,
241,"13145-N-Hwy,-183,-Austin,-TX-78750",,,,,,,,,,,
242,"6607-Brodie-Ln,-Austin,-TX-78745",,,,,,,,,,,
243,"3816-S-Lamar-Blvd,-Austin,-TX-78704",,,,,,,,,,,
244,"2504-Huntwick-Dr,-Austin,-TX-78741",,,,,,,,,,,
245,"502-W-Longspur-Blvd,-Austin,-TX-78753",,,,,,,,,,,
246,"1507-Kinney-Ave,-Austin,-TX-78704",,,,,,,,,,,
247,"1100-Reinli-St,-Austin,-TX-78723",,,,,,,,,,,
248,"1309-Zacharys-Way,-Austin,-TX-78748",,5758.0,8591.0,,6011.0,,,,,,
249,"1034-Clayton-Ln,-Austin,-TX-78723",,,,,,,,,,,
250,"11511-Metric-Blvd,-Austin,-TX-78758",,,,,,,,,,,
251,"1403-Norwalk-Ln,-Austin,-TX-78703",,,,,,,,,,,
252,"811-E-11th-St,-Austin,-TX-78702",,,,,,,,,,,
253,"2029-E-7th-St,-Unit-134,-Austin,-TX-78702",,,,,,,,,,,
254,"5402-Ave-F,-Austin,-TX-78751",,,,,,,,,,,
255,"2819-Foster-Ln,-Austin,-TX-78757",,,,,,,,,,,
256,"13217-Vendrell-Dr,-Austin,-TX-78729",,6208.0,9506.0,,7368.0,,,,,,
257,"1511-Faro-Dr,-Austin,-TX-78741",,,,,,,,,,,
258,"1900-W-Saint-Johns-Ave-Unit-A,-Austin,-TX-78757",,,,,,,,,,,
259,"11402-Walnut-Ridge-Dr,-Unit-B,-Austin,-TX-78753",,,,,,,,,,,
260,"12300-Hymeadow-Dr,-Austin,-TX-78750",,,,,,,,,,,
261,"1908-W-Loop,-Apt-A,-Austin,-TX-78758",,,,,,,,,,,
262,"1900-Barton-Springs-Rd,-Unit-4041,-Austin,-TX-78704",,7159.0,10331.0,,,,,,,,
